station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Max	maximum	53.300	99.452	363	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Max36	36th highest value	34.200	99.452	363	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Max8	8th highest value	45.500	99.452	363	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2009	day	Days(c > 50)	days with c > 50 ug/m3	1.000	99.452	363	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	P50	50 percentile	17.630	94.247	344	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Mean	annual mean	20.437	94.247	344	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	P95	95 percentile	49.220	94.247	344	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	P98	98 percentile	59.540	94.247	344	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Max	maximum	150.270	94.247	344	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Max36	36th highest value	36.510	94.247	344	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Max8	8th highest value	59.540	94.247	344	Y
BG0070A	5	Particulate matter < 10 µm (aerosol)	PM10	µg/m3	100	Calendar year	2010	day	Days(c > 50)	days with c > 50 ug/m3	17.000	94.247	344	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	day	Mean	annual mean	99.312	93.151	340	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	day	P50	50 percentile	99.827	93.151	340	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	day	P95	95 percentile	133.927	93.151	340	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	day	P98	98 percentile	141.009	93.151	340	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	day	Max	maximum	152.972	93.151	340	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	Mean	annual mean	110.476	93.973	343	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	P50	50 percentile	111.485	93.973	343	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	P95	95 percentile	151.490	93.973	343	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	P98	98 percentile	157.824	93.973	343	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	Max	maximum	182.869	93.973	343	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	Max26	26th highest value	146.364	93.973	343	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	Days(c > 120)	days with c > 120 ug/m3	124.000	93.973	343	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	dymax	SOMO35	SOMO35 (c > 70 ug/m3, year,corrected)	14903.000	93.973	343	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	Mean	annual mean	99.256	92.854	8134	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	P50	50 percentile	99.460	92.854	8134	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	P95	95 percentile	137.910	92.854	8134	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	P98	98 percentile	147.960	92.854	8134	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	Max	maximum	205.460	92.854	8134	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2009	hour	AOT40	AOT40 (c > 80 ug/m3,3 months,corrected)	37576.000	95.380	1053	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	day	P50	50 percentile	96.468	95.342	348	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	day	Mean	annual mean	97.974	95.342	348	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	day	P95	95 percentile	130.647	95.342	348	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	day	P98	98 percentile	135.337	95.342	348	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	day	Max	maximum	152.778	95.342	348	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	P50	50 percentile	104.857	95.890	350	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	Mean	annual mean	108.354	95.890	350	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	P95	95 percentile	143.576	95.890	350	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	P98	98 percentile	151.296	95.890	350	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	Max	maximum	191.679	95.890	350	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	Max26	26th highest value	138.430	95.890	350	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	Days(c > 120)	days with c > 120 ug/m3	103.000	95.890	350	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	dymax	SOMO35	SOMO35 (c > 70 ug/m3, year,corrected)	14060.000	95.890	350	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	P50	50 percentile	97.510	94.989	8321	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	Mean	annual mean	98.101	94.989	8321	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	P95	95 percentile	135.100	94.989	8321	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	P98	98 percentile	143.940	94.989	8321	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	Max	maximum	210.600	94.989	8321	Y
BG0070A	7	Ozone (air)	O3	µg/m3	100	Calendar year	2010	hour	AOT40	AOT40 (c > 80 ug/m3,3 months,corrected)	30018.000	88.859	981	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	day	P50	50 percentile	4.924	92.055	336	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	day	Mean	annual mean	5.447	92.055	336	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	day	P95	95 percentile	11.660	92.055	336	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	day	P98	98 percentile	13.001	92.055	336	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	day	Max	maximum	16.406	92.055	336	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	P50	50 percentile	3.610	92.626	8114	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	Mean	annual mean	5.467	92.626	8114	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	P95	95 percentile	17.450	92.626	8114	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	P98	98 percentile	26.130	92.626	8114	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	Max	maximum	79.600	92.626	8114	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	Max19	19th highest value	47.590	92.626	8114	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2009	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	92.626	8114	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	day	P50	50 percentile	3.588	95.342	348	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	day	Mean	annual mean	4.400	95.342	348	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	day	P95	95 percentile	10.803	95.342	348	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	day	P98	98 percentile	12.457	95.342	348	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	day	Max	maximum	19.450	95.342	348	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	P50	50 percentile	2.570	94.966	8319	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	Mean	annual mean	4.381	94.966	8319	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	P95	95 percentile	14.730	94.966	8319	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	P98	98 percentile	22.960	94.966	8319	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	Max	maximum	83.540	94.966	8319	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	Max19	19th highest value	45.110	94.966	8319	Y
BG0070A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	2010	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	94.966	8319	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	day	P50	50 percentile	6.048	92.055	336	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	day	Mean	annual mean	6.947	92.055	336	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	day	P95	95 percentile	15.271	92.055	336	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	day	P98	98 percentile	18.879	92.055	336	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	day	Max	maximum	27.159	92.055	336	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	hour	P50	50 percentile	4.256	92.626	8114	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	hour	Mean	annual mean	7.018	92.626	8114	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	hour	P95	95 percentile	22.353	92.626	8114	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	hour	P98	98 percentile	35.277	92.626	8114	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2009	hour	Max	maximum	170.045	92.626	8114	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	day	P50	50 percentile	4.969	95.342	348	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	day	Mean	annual mean	6.095	95.342	348	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	day	P95	95 percentile	14.040	95.342	348	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	day	P98	98 percentile	16.734	95.342	348	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	day	Max	maximum	22.602	95.342	348	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	hour	P50	50 percentile	3.891	94.966	8319	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	hour	Mean	annual mean	6.067	94.966	8319	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	hour	P95	95 percentile	18.615	94.966	8319	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	hour	P98	98 percentile	29.023	94.966	8319	Y
BG0070A	9	Nitrogen oxides (air)	NOX	µg NO2/m3	100	Calendar year	2010	hour	Max	maximum	118.938	94.966	8319	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	day	P50	50 percentile	0.387	95.068	347	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	day	Mean	annual mean	0.407	95.068	347	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	day	P95	95 percentile	0.689	95.068	347	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	day	P98	98 percentile	0.871	95.068	347	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	day	Max	maximum	0.934	95.068	347	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	dymax	P50	50 percentile	0.444	95.616	349	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	dymax	Mean	annual mean	0.464	95.616	349	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	dymax	P95	95 percentile	0.791	95.616	349	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	dymax	P98	98 percentile	0.949	95.616	349	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	dymax	Max	maximum	1.074	95.616	349	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	hour	P50	50 percentile	0.380	96.929	8491	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	hour	Mean	annual mean	0.409	96.929	8491	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	hour	P95	95 percentile	0.730	96.929	8491	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	hour	P98	98 percentile	0.880	96.929	8491	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2009	hour	Max	maximum	1.300	96.929	8491	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	day	P50	50 percentile	0.275	95.342	348	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	day	Mean	annual mean	0.291	95.342	348	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	day	P95	95 percentile	0.538	95.342	348	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	day	P98	98 percentile	0.723	95.342	348	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	day	Max	maximum	0.864	95.342	348	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	dymax	P50	50 percentile	0.312	95.890	350	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	dymax	Mean	annual mean	0.344	95.890	350	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	dymax	P95	95 percentile	0.649	95.890	350	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	dymax	P98	98 percentile	0.827	95.890	350	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	dymax	Max	maximum	1.020	95.890	350	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	hour	P50	50 percentile	0.270	96.256	8432	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	hour	Mean	annual mean	0.290	96.256	8432	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	hour	P95	95 percentile	0.570	96.256	8432	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	hour	P98	98 percentile	0.720	96.256	8432	Y
BG0070A	10	Carbon monoxide (air)	CO	mg/m3	100	Calendar year	2010	hour	Max	maximum	1.320	96.256	8432	Y
BG0070A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2009	day	P50	50 percentile	0.000	49.589	181	Y
BG0070A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2009	day	Mean	annual mean	0.005	49.589	181	Y
BG0070A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2009	day	P95	95 percentile	0.020	49.589	181	Y
BG0070A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2009	day	P98	98 percentile	0.025	49.589	181	Y
BG0070A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2009	day	Max	maximum	0.050	49.589	181	Y
BG0070A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2010	day	P50	50 percentile	0.000	46.575	170	Y
BG0070A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2010	day	Mean	annual mean	0.003	46.575	170	Y
BG0070A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2010	day	P95	95 percentile	0.010	46.575	170	Y
BG0070A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2010	day	Max	maximum	0.020	46.575	170	Y
BG0070A	12	Lead (aerosol)	Pb	µg/m3	100	Calendar year	2010	day	P98	98 percentile	0.020	46.575	170	Y
BG0070A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2009	day	P50	50 percentile	0.000	49.589	181	Y
BG0070A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2009	day	Mean	annual mean	0.138	49.589	181	Y
BG0070A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2009	day	P95	95 percentile	1.000	49.589	181	Y
BG0070A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2009	day	P98	98 percentile	1.000	49.589	181	Y
BG0070A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2009	day	Max	maximum	2.000	49.589	181	Y
BG0070A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2010	day	Max	maximum	0.000	46.575	170	Y
BG0070A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2010	day	Mean	annual mean	0.000	46.575	170	Y
BG0070A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2010	day	P50	50 percentile	0.000	46.575	170	Y
BG0070A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2010	day	P95	95 percentile	0.000	46.575	170	Y
BG0070A	14	Cadmium (aerosol)	Cd	ng/m3	100	Calendar year	2010	day	P98	98 percentile	0.000	46.575	170	Y
BG0070A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2009	day	Max	maximum	0.000	49.589	181	Y
BG0070A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2009	day	Mean	annual mean	0.000	49.589	181	Y
BG0070A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2009	day	P50	50 percentile	0.000	49.589	181	Y
BG0070A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2009	day	P95	95 percentile	0.000	49.589	181	Y
BG0070A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2009	day	P98	98 percentile	0.000	49.589	181	Y
BG0070A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2010	day	P50	50 percentile	0.000	46.575	170	Y
BG0070A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2010	day	Mean	annual mean	6.386	46.575	170	Y
BG0070A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2010	day	P95	95 percentile	39.000	46.575	170	Y
BG0070A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2010	day	P98	98 percentile	51.000	46.575	170	Y
BG0070A	15	Nickel (aerosol)	Ni	ng/m3	100	Calendar year	2010	day	Max	maximum	91.000	46.575	170	Y
BG0070A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2009	day	Max	maximum	0.000	49.315	180	Y
BG0070A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2009	day	Mean	annual mean	0.000	49.315	180	Y
BG0070A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2009	day	P50	50 percentile	0.000	49.315	180	Y
BG0070A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2009	day	P95	95 percentile	0.000	49.315	180	Y
BG0070A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2009	day	P98	98 percentile	0.000	49.315	180	Y
BG0070A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2010	day	P50	50 percentile	0.000	45.479	166	Y
BG0070A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2010	day	P95	95 percentile	0.000	45.479	166	Y
BG0070A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2010	day	P98	98 percentile	0.000	45.479	166	Y
BG0070A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2010	day	Mean	annual mean	0.021	45.479	166	Y
BG0070A	18	Arsenic (aerosol)	As	ng/m3	100	Calendar year	2010	day	Max	maximum	1.500	45.479	166	Y
BG0070A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	day	P50	50 percentile	0.060	98.630	360	Y
BG0070A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	day	Mean	annual mean	0.084	98.630	360	Y
BG0070A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	day	P95	95 percentile	0.230	98.630	360	Y
BG0070A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	day	P98	98 percentile	0.480	98.630	360	Y
BG0070A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2009	day	Max	maximum	0.740	98.630	360	Y
BG0070A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	day	P50	50 percentile	0.040	90.137	329	Y
BG0070A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	day	Mean	annual mean	0.048	90.137	329	Y
BG0070A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	day	P95	95 percentile	0.130	90.137	329	Y
BG0070A	20	Benzene (air)	C6H6	µg/m3	100	Calendar year	2010	day	P98	98 percentile	0.170	90.137	329	Y
